country_code,year,kg_person
TUR,2002,3.532
TUR,2001,3.638
TUR,2000,3.964
TUR,2019,9.474
TUR,2020,9.633
TUR,2011,7.079
TUR,2022,9.966000000000001
USA,2022,25.342
USA,2020,26.195
USA,2019,26.324
USA,2018,26.057
USA,2017,25.939
USA,2016,25.308000000000003
USA,2015,24.599
USA,2014,24.627
USA,2013,25.595
USA,2012,26.083000000000002
USA,2011,26.261999999999997
USA,2010,27.256999999999998
USA,2008,28.71
USA,2007,29.903000000000002
USA,2006,30.171
USA,2005,30.049
USA,2004,30.33
USA,2003,29.803
USA,2002,31.038
USA,2001,30.378
USA,2000,31.066999999999997
USA,2009,28.037
USA,2021,26.081
