currency_code,year,dollar_ex
KRW,2013,1110.0
KRW,2014,1045.0
KRW,2015,1113.0
KRW,2016,1168.5
KRW,2017,1170.0
KRW,2018,1092.5
KRW,2019,1149.0
KRW,2020,1178.0
KRW,2021,1123.5
KRW,2022,1259.0
MXN,2000,9.0
MXN,2001,9.0
MXN,2002,9.0
MXN,2003,10.0
MXN,2004,11.0
MXN,2005,10.0
MXN,2006,10.5
MXN,2007,10.0
MXN,2008,10.0
MXN,2009,13.0
MXN,2010,12.0
MXN,2011,11.0
MXN,2012,13.0
MXN,2013,12.0
MXN,2014,12.5
MXN,2015,14.5
MXN,2016,17.5
MXN,2017,19.0
MXN,2018,18.5
MXN,2019,18.5
MXN,2020,20.0
MXN,2021,20.0
MXN,2022,20.0
NZD,2000,2.0
NZD,2001,2.0
NZD,2002,2.0
NZD,2003,1.0
NZD,2004,1.0
NZD,2005,1.0
NZD,2006,1.0
NZD,2007,1.0
NZD,2008,1.0
NZD,2009,1.0
NZD,2010,1.0
NZD,2011,1.0
NZD,2012,1.0
NZD,2013,1.0
NZD,2014,1.0
NZD,2015,1.0
NZD,2016,1.0
NZD,2017,1.0
NZD,2018,1.0
NZD,2019,1.0
NZD,2020,1.0
NZD,2021,1.0
NZD,2022,1.0
PLN,2000,4.0
PLN,2001,4.0
PLN,2002,4.0
PLN,2003,3.0
PLN,2004,3.0
PLN,2005,3.0
PLN,2006,3.0
PLN,2007,2.0
PLN,2008,2.0
PLN,2009,3.0
PLN,2010,2.5
PLN,2011,2.0
PLN,2012,3.0
PLN,2013,3.0
PLN,2014,3.0
PLN,2015,3.0
PLN,2016,3.5
PLN,2017,3.5
PLN,2018,3.0
PLN,2019,3.0
PLN,2020,3.0
PLN,2021,3.0
PLN,2022,4.0
RUB,2000,28.0
RUB,2001,28.0
RUB,2002,31.0
RUB,2003,31.0
RUB,2004,29.0
RUB,2005,28.0
RUB,2006,27.5
RUB,2007,25.5
RUB,2008,23.0
RUB,2009,32.0
RUB,2010,29.5
RUB,2011,27.0
RUB,2012,31.5
RUB,2013,31.0
RUB,2014,33.5
RUB,2015,60.5
RUB,2016,68.5
RUB,2017,60.0
RUB,2018,59.0
RUB,2019,64.5
RUB,2020,65.5
RUB,2021,74.0
RUB,2022,77.0
TRY,2002,1324500.0
TRY,2003,1600500.0
TRY,2004,1531000.0
TRY,2005,1.0
TRY,2006,1.0
TRY,2007,1.0
TRY,2008,1.0
TRY,2009,1.0
TRY,2010,1.0
TRY,2011,1.0
TRY,2012,1.0
TRY,2013,1.0
TRY,2014,2.0
TRY,2015,2.0
TRY,2016,3.0
TRY,2017,3.0
TRY,2018,3.5
TRY,2019,5.0
TRY,2020,5.5
TRY,2021,7.5
TRY,2022,15.0
USD,2000,1.0
USD,2001,1.0
USD,2002,1.0
USD,2003,1.0
USD,2004,1.0
USD,2005,1.0
USD,2006,1.0
USD,2007,1.0
USD,2008,1.0
USD,2009,1.0
USD,2010,1.0
USD,2011,1.0
USD,2012,1.0
USD,2013,1.0
USD,2014,1.0
USD,2015,1.0
USD,2016,1.0
USD,2017,1.0
USD,2018,1.0
USD,2019,1.0
USD,2020,1.0
USD,2021,1.0
USD,2022,1.0
