date,currency_code,name,local_price,dollar_ex,dollar_price
7/1/20,AED,United Arab Emirates,14.75,3,4.92
7/1/20,USD,United States,4.82,1,4.82
7/1/20,UYU,Uruguay,189,43,4.4
7/1/20,VND,Vietnam,66000,23180,2.85
1/1/21,ARS,Argentina,320,85,3.76
1/1/21,AUD,Australia,6.48,1,6.48
1/1/21,EUR,Austria,3.88,1,3.88
1/1/21,AZN,Azerbaijan,3.95,1,3.95
1/1/21,BHD,Bahrain,1.5,1,1.5
1/1/21,EUR,Belgium,4.35,1,4.35
1/1/21,BRL,Brazil,21.9,5,4.38
1/1/21,GBP,Britain,3.29,1,3.29
1/1/21,CAD,Canada,6.77,1,6.77
1/1/21,CLP,Chile,2940,719,4.09
1/1/21,CNY,China,22.4,6,3.73
1/1/21,COP,Colombia,12950,3460,3.74
1/1/21,CRC,Costa Rica,2350,613,3.83
1/1/21,HRK,Croatia,23,6,3.83
1/1/21,CZK,Czech Republic,89,21,4.24
1/1/21,DKK,Denmark,30,6,5
1/1/21,EGP,Egypt,42.5,15,2.83
1/1/21,EUR,Estonia,3.2,1,3.2
1/1/21,EUR,Euro area,4.25,1,4.25
1/1/21,EUR,Finland,4.87,1,4.87
1/1/21,EUR,France,4.2,1,4.2
1/1/21,EUR,Germany,4.46,1,4.46
1/1/21,EUR,Greece,3.3,1,3.3
1/1/21,GTQ,Guatemala,25,7,3.57
1/1/21,HNL,Honduras,87,24,3.62
1/1/21,HKD,Hong Kong,20.5,7,2.93
1/1/21,HUF,Hungary,900,297,3.03
1/1/21,INR,India,190,73,2.6
1/1/21,IDR,Indonesia,34000,14125,2.41
1/1/21,EUR,Ireland,4.4,1,4.4
1/1/21,ILS,Israel,17,3,5.67
1/1/21,EUR,Italy,4.3,1,4.3
1/1/21,JPY,Japan,390,104,3.75
1/1/21,JOD,Jordan,2.3,1,2.3
1/1/21,KWD,Kuwait,1.15,1,1.15
1/1/21,EUR,Latvia,2.85,1,2.85
1/1/21,LBP,Lebanon,15500,8750,1.77
1/1/21,EUR,Lithuania,2.9,1,2.9
1/1/21,MYR,Malaysia,9.99,4,2.5
1/1/21,MXN,Mexico,54,20,2.7
1/1/21,MDL,Moldova,50,17,2.94
1/1/21,EUR,Netherlands,4.13,1,4.13
1/1/21,NZD,New Zealand,6.8,1,6.8
1/1/21,NIO,Nicaragua,124,34,3.65
1/1/21,NOK,Norway,52,8,6.5
1/1/21,OMR,Oman,1.1,1,1.1
1/1/21,PKR,Pakistan,550,160,3.44
1/1/21,PEN,Peru,11.9,3,3.97
1/1/21,PHP,Philippines,142,48,2.96
1/1/21,PLN,Poland,13.08,3,4.36
1/1/21,EUR,Portugal,3.45,1,3.45
1/1/21,QAR,Qatar,13,3,4.33
1/1/21,RON,Romania,9.9,4,2.48
1/1/21,RUB,Russia,135,74,1.82
1/1/21,SAR,Saudi Arabia,14,3,4.67
1/1/21,SGD,Singapore,5.9,1,5.9
1/1/21,EUR,Slovakia,3.7,1,3.7
1/1/21,EUR,Slovenia,2.5,1,2.5
1/1/21,ZAR,South Africa,33.5,15,2.23
1/1/21,KRW,South Korea,4500,1097,4.1
1/1/21,EUR,Spain,4.33,1,4.33
1/1/21,LKR,Sri Lanka,700,189,3.7
1/1/21,SEK,Sweden,52.88,8,6.61
1/1/21,CHF,Switzerland,6.5,1,6.5
1/1/21,TWD,Taiwan,72,27,2.67
1/1/21,THB,Thailand,128,30,4.27
1/1/21,TRY,Turkey,14.99,7,2.14
1/1/21,UAH,Ukraine,62,28,2.21
1/1/21,AED,United Arab Emirates,14.75,3,4.92
1/1/21,USD,United States,4.89,1,4.89
1/1/21,UYU,Uruguay,204,42,4.86
1/1/21,VND,Vietnam,66000,23064,2.86
7/1/21,ARS,Argentina,380,96,3.96
7/1/21,AUD,Australia,6.55,1,6.55
7/1/21,EUR,Austria,3.92,1,3.92
7/1/21,AZN,Azerbaijan,3.95,1,3.95
7/1/21,BHD,Bahrain,1.5,1,1.5
7/1/21,EUR,Belgium,4.45,1,4.45
7/1/21,BRL,Brazil,22.9,5,4.58
7/1/21,GBP,Britain,3.49,1,3.49
7/1/21,CAD,Canada,6.77,1,6.77
7/1/21,CLP,Chile,2990,759,3.94
7/1/21,CNY,China,22.4,6,3.73
7/1/21,COP,Colombia,12950,3842,3.37
7/1/21,CRC,Costa Rica,2370,617,3.84
7/1/21,HRK,Croatia,24,6,4
7/1/21,CZK,Czech Republic,89,21,4.24
7/1/21,DKK,Denmark,30,6,5
7/1/21,EGP,Egypt,42.5,15,2.83
7/1/21,EUR,Estonia,3.2,1,3.2
7/1/21,EUR,Euro area,4.29,1,4.29
7/1/21,EUR,Finland,4.89,1,4.89
7/1/21,EUR,France,4.3,1,4.3
7/1/21,EUR,Germany,4.45,1,4.45
7/1/21,EUR,Greece,3.3,1,3.3
7/1/21,GTQ,Guatemala,26,7,3.71
7/1/21,HNL,Honduras,87,23,3.78
7/1/21,HKD,Hong Kong,21,7,3
7/1/21,HUF,Hungary,908,305,2.98
7/1/21,INR,India,190,74,2.57
7/1/21,IDR,Indonesia,34000,14517,2.34
7/1/21,EUR,Ireland,4.5,1,4.5
7/1/21,ILS,Israel,17,3,5.67
7/1/21,EUR,Italy,4.3,1,4.3
7/1/21,JPY,Japan,390,109,3.58
7/1/21,JOD,Jordan,2.13,1,2.13
7/1/21,KWD,Kuwait,1.25,1,1.25
7/1/21,EUR,Latvia,2.85,1,2.85
7/1/21,LBP,Lebanon,37000,22000,1.68
7/1/21,EUR,Lithuania,2.9,1,2.9
7/1/21,MYR,Malaysia,9.99,4,2.5
7/1/21,MXN,Mexico,64,20,3.2
7/1/21,MDL,Moldova,52,17,3.06
7/1/21,EUR,Netherlands,4.22,1,4.22
7/1/21,NZD,New Zealand,6.9,1,6.9
7/1/21,NIO,Nicaragua,128,35,3.66
7/1/21,NOK,Norway,57,9,6.33
7/1/21,OMR,Oman,1.15,1,1.15
7/1/21,PKR,Pakistan,580,161,3.6
7/1/21,PEN,Peru,12.9,3,4.3
7/1/21,PHP,Philippines,142,50,2.84
7/1/21,PLN,Poland,13.43,3,4.48
7/1/21,EUR,Portugal,3.45,1,3.45
7/1/21,QAR,Qatar,13,3,4.33
7/1/21,RON,Romania,10.6,4,2.65
7/1/21,RUB,Russia,135,74,1.82
7/1/21,SAR,Saudi Arabia,14,3,4.67
7/1/21,SGD,Singapore,5.9,1,5.9
7/1/21,EUR,Slovakia,3.7,1,3.7
7/1/21,EUR,Slovenia,2.6,1,2.6
7/1/21,ZAR,South Africa,33.5,14,2.39
7/1/21,KRW,South Korea,4600,1150,4
7/1/21,EUR,Spain,4.4,1,4.4
7/1/21,LKR,Sri Lanka,700,199,3.52
