"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,12.59,,
"FRA","France","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,12.68,,
"FRA","France","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,12.6,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,6.04,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,6.13,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,6.18,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,6.19,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,6.24,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,6.26,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,6.32,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,6.37,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,6.59,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,6.74,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,6.9,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,6.98,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,7.08,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,7.03,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,7.12,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,7.31,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,7.5,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,7.65,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,7.85,,
"JPN","Japan","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,8.03,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,3.43,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,3.37,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,3.52,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,3.51,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,3.54,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,3.7,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,3.76,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,4.34,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,4.74,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,4.76,,
